Disciplina;Turma;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;TamTurma
PLANTAS I;B;NA;5;5;5;5;5;5;5;5;5;5;100
PLANTAS I;B;NA;5;5;5;5;5;5;5;5;5;5;100
PLANTAS I;B;5;5;NA;5;5;5;5;5;5;5;5;100
PLANTAS I;B;5;5;NA;5;5;5;5;5;5;4;5;100
PLANTAS I;B;4;5;5;5;5;5;5;5;5;5;5;100
PLANTAS I;B;5;5;5;5;5;5;5;5;4,8;5;5;100
PLANTAS I;B;5;5;5;2,5;5;5;5;2,1;5;1,5;5;100
PLANTAS I;B;2,1;5;5;2,7;5;5;5;5;5;2,2;5;100
PLANTAS I;B;5;5;5;5;5;5;5;5;5;5;5;100
PLANTAS I;B;5;5;5;5;5;5;5;5;4;5;5;100
PLANTAS I;B;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;100
PLANTAS I;B;5;NA;5;5;NA;NA;NA;NA;NA;NA;NA;100
PLANTAS I;B;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100
PLANTAS I;B;5;4,7;5;4,7;5;5;4,1;5;4,5;NA;4,4;100
PLANTAS I;B;NA;5;5;4,8;5;5;4,6;5;4,8;NA;4,7;100
PLANTAS I;B;5;4;5;5;4,5;5;4,5;5;4,5;NA;5;100
PLANTAS I;B;5;5;5;4;5;5;5;5;5;NA;5;100
PLANTAS I;B;4;5;5;4;3;5;5;5;5;NA;5;100
PLANTAS I;B;5;5;5;5;5;4,7;5;4,6;5;4,5;5;100
PLANTAS I;B;5;4,7;4,5;4,6;5;4,9;5;4,8;4,8;4,8;5;100
PLANTAS I;B;2,8;3,9;5;4,4;2,7;4,2;3,3;3,5;3,9;5;3,8;100
PLANTAS I;C;1,5;1,4;5;4,3;2,6;4,1;2,7;3,7;3,9;5;3,9;50
PLANTAS I;C;5;5;4,2;5;4,4;5;4,1;4,8;4,8;3,5;4,8;50
PLANTAS I;C;NA;NA;4,4;5;5;5;5;4;5;3,6;4,9;50
PLANTAS I;C;NA;5;5;5;5;5;5;5;5;5;5;50
PLANTAS I;C;5;5;5;5;5;5;5;5;5;5;5;50
PLANTAS I;C;5;5;5;5;5;5;5;5;5;5;5;50
PLANTAS I;C;3;5;5;3,5;5;4;4;5;5;3;5;50
PLANTAS I;C;NA;5;5;4;5;5;4,5;5;5;5;5;50
PLANTAS I;C;4;4;4;5;5;5;5;3,6;4,5;5;5;50
PLANTAS I;C;4;4;4;4,6;5;5;5;3,6;4,5;5;5;50
PLANTAS I;C;4,2;5;5;5;3,8;5;5;5;5;5;5;50
PLANTAS I;C;NA;5;5;5;5;5;5;5;5;5;5;50
PLANTAS I;C;3,5;5;5;5;4;5;5;5;5;5;5;50
PLANTAS I;C;3,5;5;5;5;4;5;5;5;5;5;5;50
PLANTAS I;C;5;5;5;5;5;5;5;5;5;5;5;50
PLANTAS I;C;5;5;5;5;4,8;5;5;5;5;5;5;50
PLANTAS I;C;5;5;5;5;5;5;5;4,8;5;5;5;50
PLANTAS I;C;5;4;5;5;5;5;5;4,8;5;NA;5;50
PLANTAS I;C;5;5;5;5;5;4,7;5;4,6;5;4,5;5;50
PLANTAS I;C;5;4,7;4,5;4,6;5;4,9;5;4,8;4,8;4,8;5;50
PLANTAS I;C;2,8;3,9;5;4,4;2,7;4,2;3,3;3,5;3,9;5;3,8;50
PLANTAS I;C;1,5;1,4;5;4,3;2,6;4,1;2,7;3,7;3,9;5;3,9;50
PLANTAS I;C;5;5;4,2;5;4,4;5;4,1;4,8;4,8;3,5;4,8;50
PLANTAS I;C;NA;NA;4,4;5;5;5;5;4;5;3,6;4,9;50
PLANTAS I;C;4,5;4,5;5;4;5;4,5;4,5;5;4,5;4,6;5;50
PLANTAS I;C;4,5;4,5;5;4;5;4,5;4,5;5;4,5;3,3;5;50
PLANTAS I;C;5;5;5;5;5;5;5;5;5;NA;5;50
PLANTAS I;C;4,3;5;5;5;5;5;3,5;5;5;5;5;50
PLANTAS I;C;5;5;5;5;5;5;5;5;4,6;5;4,7;50
PLANTAS I;C;5;3,7;4;4;5;5;5;5;3,5;5;3,7;50
PLANTAS I;D;5;5;5;5;5;5;5;5;5;5;5;76
PLANTAS I;D;5;5;5;5;5;5;5;5;5;5;5;76
PLANTAS I;D;5;4;5;5;5;5;5;5;5;5;5;76
PLANTAS I;D;5;5;5;5;5;5;3,9;5;5;5;5;76
PLANTAS I;D;5;5;5;5;5;5;5;5;5;5;5;76
PLANTAS I;D;1;5;5;5;5;5;2,5;5;5;5;5;76
PLANTAS I;D;NA;5;5;5;5;5;5;5;5;5;5;76
PLANTAS I;D;5;3;5;1;2;1,5;5;3;2;1;5;76
PLANTAS I;D;4,5;NA;5;5;5;3,5;5;5;5;4;5;76
PLANTAS I;D;5;5;5;5;5;5;5;5;5;5;5;76
PLANTAS I;E;NA;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;4,4;5;5;5;5;4,6;5;5;89
PLANTAS I;E;4,5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;NA;5;89
PLANTAS I;E;NA;5;5;5;5;5;5;5;5;NA;5;89
PLANTAS I;E;4,3;5;5;5;5;5;3,5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;4,6;5;4,7;89
PLANTAS I;E;5;3,7;4;4;5;5;5;5;3,5;5;3,7;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;4,6;5;4,1;5;4,9;3,3;5;3,8;4,6;4,5;89
PLANTAS I;E;5;4,2;5;4,9;5;5;3,3;5;4,1;3,3;4,2;89
PLANTAS I;E;4,5;5;5;4,5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;NA;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;4;5;2;5;5;5;5;4,6;3;3;89
PLANTAS I;E;NA;NA;5;4;5;5;5;5;4,8;NA;4;89
PLANTAS I;E;NA;4,2;5;5;5;5;5;5;5;5;4,6;89
PLANTAS I;E;5;5;5;5;5;5;4,5;5;5;5;5;89
PLANTAS I;E;NA;5;5;5;5;5;NA;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;5;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;5;3,9;5;5;5;5;5;5;5;5;5;89
PLANTAS I;E;NA;5;5;5;5;5;NA;5;5;NA;NA;89
PLANTAS I;E;NA;5;5;5;NA;5;NA;5;5;NA;NA;89
PLANTAS I;F;5;5;5;5;5;5;5;5;5;5;5;56
PLANTAS I;F;NA;NA;5;5;5;5;5;5;5;5;5;56
PLANTAS I;F;5;5;5;5;5;5;5;5;5;5;5;56
PLANTAS I;F;5;5;5;5;5;5;5;5;5;5;5;56
PLANTAS I;F;5;5;5;5;5;5;5;5;5;5;5;56
PLANTAS I;F;5;5;5;5;5;5;5;5;5;5;5;56
PLANTAS I;F;5;5;5;5;5;5;5;5;5;5;5;56
PLANTAS I;F;4,5;4,5;5;4;4;4;4;4;4;5;4,5;56
PLANTAS I;F;4,9;5;1,5;2,1;2,8;5;5;1,9;2,4;2;3;56
PLANTAS I;F;5;5;5;4;3;3;5;4;3;3;5;56
PLANTAS I;F;5;5;5;4;3,6;3,8;3;3,7;3,8;4,1;4,1;56
PLANTAS I;F;2,2;5;5;5;4;5;5;5;5;5;5;56
PLANTAS I;F;4;5;3,5;5;4;5;5;4;4,5;5;5;56
PLANTAS I;F;5;5;4;5;5;5;4,5;4,5;5;5;5;56
PLANTAS I;F;5;5;5;5;5;5;5;5;5;5;5;56
PLANTAS I;F;5;4;4;3;5;3;5;5;3;NA;4;56
PLANTAS I;F;5;5;5;5;4;5;5;5;5;5;5;56
PLANTAS I;F;4,7;4,9;5;4,9;5;5;4,7;5;4,9;NA;4,8;56
PLANTAS I;F;4,4;5;5;4,4;5;5;4,4;5;4,9;5;4,3;56
PLANTAS I;F;4,2;5;5;4,4;5;5;4,7;5;4,4;5;4,4;56
PLANTAS I;F;5;4;5;5;3;5;5;5;5;5;5;56
PLANTAS I;F;5;5;5;5;5;5;5;5;5;5;5;56
DINOSSAUROS II;U;4,1;5;5;4,3;4,7;4,6;4,7;4,8;2,2;4,5;5;60
DINOSSAUROS II;U;5;5;5;5;4,5;5;5;3,5;4;4,5;5;60
DINOSSAUROS II;U;4,5;4,5;5;4;4;4;4;4;4;5;4,5;60
DINOSSAUROS II;U;4,9;5;1,5;2,1;2,8;5;5;1,9;2,4;2;3;60
DINOSSAUROS II;U;5;5;5;4;3;3;5;4;3;3;5;60
DINOSSAUROS II;U;5;5;5;4;3,6;3,8;3;3,7;3,8;4,1;4,1;60
DINOSSAUROS II;U;2,2;5;5;5;4;5;5;5;5;5;5;60
DINOSSAUROS II;U;4;5;3,5;5;4;5;5;4;4,5;5;5;60
DINOSSAUROS II;U;5;5;4;5;5;5;4,5;4,5;5;5;5;60
DINOSSAUROS II;U;5;5;5;5;5;5;5;5;5;5;5;60
DINOSSAUROS II;U;5;4;4;3;5;3;5;5;3;NA;4;60
DINOSSAUROS II;U;5;5;5;5;4;5;5;5;5;5;5;60
DINOSSAUROS II;U;5;5;5;5;4,5;5;5;4,8;5;5;5;60
DINOSSAUROS II;U;3;5;5;5;3,5;5;5;5;4,4;3;5;60
DINOSSAUROS II;U;4,3;5;5;5;5;5;5;5;4,8;5;5;60
DINOSSAUROS II;U;NA;5;5;5;5;4,7;4,8;4,8;4,8;5;5;60
DINOSSAUROS II;U;5;5;5;5;5;4,6;5;5;5;5;5;60
DINOSSAUROS II;U;4,5;4,8;4,9;4,8;4,8;4;4,8;4,9;4,6;5;4,8;60
MAMÍFEROS I;A;4;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;NA;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;4,5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;4,5;5;5;5;5;4,5;5;5;82
MAMÍFEROS I;A;3;5;5;5;3,5;5;5;5;4,4;3;5;82
MAMÍFEROS I;A;4,3;5;5;5;5;5;5;5;4,8;5;5;82
MAMÍFEROS I;A;NA;5;5;5;5;4,7;4,8;4,8;4,8;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;4,6;5;5;5;5;5;82
MAMÍFEROS I;A;4,5;4,8;4,9;4,8;4,8;4;4,8;4,9;4,6;5;4,8;82
MAMÍFEROS I;A;4;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;NA;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;4,5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;5;5;5;5;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;1;5;5;3,5;3,6;5;5;5;4;5;5;82
MAMÍFEROS I;A;4,5;5;5;5;5;5;3,7;5;3,9;5;5;82
MAMÍFEROS I;A;5;5;5;3,8;5;5;5;5;5;5;5;82
MAMÍFEROS I;A;4;5;5;5;4,8;5;5;5;5;5;5;82
MAMÍFEROS I;A;3;5;5;5;5;5;4,5;5;4,5;5;5;82
MAMÍFEROS I;B;5;5;5;5;5;5;5;5;3,6;3,5;5;75
MAMÍFEROS I;B;5;4;5;3,7;3,9;5;5;5;4,4;5;4,5;75
MAMÍFEROS I;B;5;5;5;4;3,5;5;5;5;5;3;5;75
MAMÍFEROS I;B;3,1;5;3;4;4;5;4,1;3,9;4,1;5;5;75
MAMÍFEROS I;B;5;5;5;3,1;4;5;4,4;5;3;5;5;75
MAMÍFEROS I;B;5;5;5;5;1;5;5;5;5;5;5;75
MAMÍFEROS I;B;5;5;5;4,8;3,7;5;5;5;5;5;5;75
MAMÍFEROS I;B;NA;3,7;5;5;5;5;5;5;5;5;5;75
MAMÍFEROS I;B;5;5;NA;3,5;4,3;5;5;5;5;3,9;5;75
MAMÍFEROS I;B;3,8;5;5;5;5;5;5;5;5;5;5;75
MAMÍFEROS I;B;4,5;5;5;5;5;5;3,7;5;3,9;5;5;75
MAMÍFEROS I;B;5;5;5;3,8;5;5;5;5;5;5;5;75
MAMÍFEROS I;B;4;5;5;5;4,8;5;5;5;5;5;5;75
MAMÍFEROS I;B;3;5;5;5;5;5;4,5;5;4,5;5;5;75
MAMÍFEROS I;B;5;5;5;5;5;5;5;5;3,6;3,5;5;75
MAMÍFEROS I;B;5;4;5;3,7;3,9;5;5;5;4,4;5;4,5;75
MAMÍFEROS I;B;5;5;5;4;3,5;5;5;5;5;3;5;75
MAMÍFEROS I;B;4,3;4,5;3,9;5;3,4;5;5;3,8;5;5;5;75
MAMÍFEROS I;B;4,1;5;5;4,1;5;5;5;5;1;3,1;5;75
MAMÍFEROS I;B;2,5;5;5;5;5;5;4,5;5;5;4,5;5;75
MAMÍFEROS I;B;4,4;5;5;5;5;5;5;5;5;5;5;75
MAMÍFEROS I;C;NA;5;5;5;4,8;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;2,5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;NA;5;5;5;5;5;4,5;5;5;80
MAMÍFEROS I;C;3,9;3,5;5;5;5;5;2,3;5;2,2;3,1;5;80
MAMÍFEROS I;C;5;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;4;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;4,3;4,5;3,9;5;3,4;5;5;3,8;5;5;5;80
MAMÍFEROS I;C;4,1;5;5;4,1;5;5;5;5;1;3,1;5;80
MAMÍFEROS I;C;2,5;5;5;5;5;5;4,5;5;5;4,5;5;80
MAMÍFEROS I;C;4,4;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;NA;5;5;5;4,8;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;2,5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;5;5;5;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;4;5;NA;5;5;5;5;5;5;5;5;80
MAMÍFEROS I;C;3;4;4,6;4,4;5;5;4;5;5;4,3;5;80
MAMÍFEROS I;C;4,3;5;5;5;5;5;5;5;3,5;5;5;80
MAMÍFEROS I;C;5;3,7;NA;1,3;4,9;5;5;5;3;3;5;80
MAMÍFEROS I;C;5;4;5;5;5;3,4;5;5;5;5;5;80
MAMÍFEROS I;C;4;3,2;5;5;5;5;4,5;5;5;4,9;5;80
MAMÍFEROS II;U;3,5;3,4;5;4,4;5;5;5;5;5;5;5;90
MAMÍFEROS II;U;4,2;4,1;5;3;5;4,8;5;5;3,8;5;5;90
MAMÍFEROS II;U;5;5;5;5;5;5;5;5;5;5;5;90
MAMÍFEROS II;U;5;5;5;5;5;5;5;5;5;5;5;90
MAMÍFEROS II;U;5;5;5;5;5;5;5;5;5;5;5;90
MAMÍFEROS II;U;4;5;5;4;5;3,2;4;5;5;5;4;90
MAMÍFEROS II;U;4,2;3,2;5;2;3,7;5;5;5;5;4;5;90
MAMÍFEROS II;U;1;2,6;5;4,8;2,8;4;5;5;3,6;3,3;5;90
MAMÍFEROS II;U;3,5;2,4;5;3;2,6;5;5;5;3;5;5;90
MAMÍFEROS II;U;3;2,5;5;;5;;5;5;5;5;5;90
MAMÍFEROS II;U;4,7;5;5;5;5;5;5;;4,4;4,3;4,6;90
MAMÍFEROS II;U;NA;4,4;4,2;4,2;5;5;1;4,1;3;NA;5;90
MAMÍFEROS II;U;5;NA;NA;1;5;4;3,2;5;1;1;5;90
MAMÍFEROS II;U;5;2;5;5;5;5;4,5;5;3;3,7;5;90
MAMÍFEROS II;U;4;3;5;5;4,2;3;4;5;5;5;5;90
MAMÍFEROS II;U;5;2;5;3;5;5;5;5;5;5;5;90
MAMÍFEROS II;U;5;4;5;5;5;5;5;5;NA;NA;5;90
MAMÍFEROS II;U;NA;3,8;NA;5;5;NA;NA;5;NA;NA;NA;90
MAMÍFEROS II;U;4,2;3,2;5;2;3,7;5;5;5;5;4;5;90
MAMÍFEROS II;U;1;2,6;5;4,8;2,8;4;5;5;3,6;3,3;5;90
MAMÍFEROS II;U;3,5;2,4;5;3;2,6;5;5;5;3;5;5;90
MAMÍFEROS II;U;3;2,5;5;3,5;5;5;5;5;5;5;5;90
MAMÍFEROS II;U;4,7;5;5;5;5;;5;;4,4;4,3;4,6;90
MAMÍFEROS II;U;NA;4,4;4,2;4,2;5;5;1;4,1;3;NA;5;90
MAMÍFEROS II;U;5;NA;NA;1;5;4;3,2;5;1;1;5;90
MAMÍFEROS II;U;5;2;5;5;5;5;4,5;5;3;3,7;5;90
MAMÍFEROS II;U;4;3;5;5;4,2;3;4;5;5;5;5;90
MAMÍFEROS II;U;5;2;5;3;5;5;5;5;5;5;5;90
MAMÍFEROS II;U;5;4;5;5;5;5;5;5;NA;NA;5;90
MAMÍFEROS II;U;NA;3,8;NA;5;5;NA;NA;5;NA;NA;NA;90
